type,posts
INFP,"Heh. I don't know what's going on with the congruent functions, but look at mine: Ne>Ni>Fi>Ti>Si>Fe>Se>Te. Like, is that normal for an INFP?

As for letting it all out... Hmm... I'm really tired and I should be in bed.
I wish she knew I existed. And I don't want to go to school tomorrow.

Yeah, not much to say."
INFP,"
Which in all honesty it's fairly apparent, when considering the fact that we have been arguing for this long and actually trying to understand and learn from what the other has said. I have a very prove it attitude, because i expect the same. Protecting a persons emotions at the expense of the truth is unhealthy and dangerous. I thank you for questioning what I had to say instead of denying it outright, and wish their where more people like you.
Well thankya sir. Ditto"
INFP,"
As an INTP, I'm pissed I sometimes withhold certain information and insights because I KNOW they will be interpreted in not nearly the way they are intended.

This is incredibly aggravating.

Soon I may spew it here.
Maybe you should have a little more faith in humanity. Just say it, if it's taken wrong try to rephrase it until you get your point across. just try to have manners while doing it and avoid taking your frustration of the situation out on the other person. (I'm sure you know this it's just sometimes we all need a little reminder.)"
INFP,"
As an INTP, I'm pissed I sometimes withhold certain information and insights because I KNOW they will be interpreted in not nearly the way they are intended.

This is incredibly aggravating.

Soon I may spew it here.
Doooit Doooit Doooit"
INFP,"first thing popping into my mind, i apologize in advance:

i sometimes feel frustrated with the world, because everyone knows whats going on but no one acknowledges it. we waste our time being fake to try and impress everyone else, and some people work so hard at it. many people have given up and they feel like their lives are worth nothing, and i wish i could save them and make them see how beautiful they and their lives are and could be. And under all this, it just comes down to the fact that all anyone really wants in life is to love and be loved.

i suppose this really shows just how much of an INFP i am haha, with this idealism i never really realized, and i'm always dreaming of impossible things that should be common sense. the world is much simpler than people make it out to be."
INFP,"
Heh. I don't know what's going on with the congruent functions, but look at mine: Ne>Ni>Fi>Ti>Si>Fe>Se>Te. Like, is that normal for an INFP?
I think that's abnormal, but my order's weird too. It happens."
INFP,"I'm gonna post 'ere anyway!!

I wanna get out of this house already so I can go out into the world...I really do. I want to get my driver's license and go to a museum or something!!! I don't know why my parents think those are only for little kids...are they? I don't know...I like 'em. I just want to get out...I don't see the use in staying trapped in a prison cell for 18 years...*sigh* at least it's almost over -_-

If I get more wordy, I'm gonna make less sense..."
INFP,I have a problem with society. There aren't enough people like YOU!
INFP,"
I feel you, helena. I'm contemplating deferring uni next semester so I can just get out of my families house, and live on my own. I don't care if it's a shoebox :\

Is it possible for you at all to live on your own? or perhaps you can spend as much time as possible outside the house.. and visit a nearby library for hours?


Yes, I agree. The world needs more of ewe!;"
INFP,"I feel I'm changing. I don't want to change but it's somewhat unavoidable. I hurt people, they hurt me. I don't want to hurt them, I don't want to get hurt."
INFP,i feel a lil bit inadequate when it comes to relationships... feel like a loser :bored::sad:
INFP,"
i feel a lil bit inadequate when it comes to relationships... feel like a loser :bored::sad:
Why inadequate, if I may ask?"
INFP,"My parents refuse to see things from my point of veiw. They think I don't know anything because I'm young. They don't believe that I have the capacity to have a mature, rational discussion. In fact, it is they who need maturing. They are ignorant, judging(non-MBTI definition), lacking in empathy and borderline racist and homophobic. They watch fox news. They refuse to try to understand me on anything, no matter how big or small. Not to mention, they are always trying to diagnose me with some kind of mental disorder, simply because of my INFPness. They think I'm antisocial, though they won't let me out of the house. I'm not even allowed to go on walks by myself. It's not like we live in a bad neighborhood or anything. They just don't trust me, though they wont admit it. They wont let me get Gardasil because they think i'll start sleeping around. HOW IGNORANT CAN YOU BE."
INFP,....That poker game was rigid. I'm never going to play poker with pimps ever again. ]:
INFP,"My boyfriend is tap dancing on my last nerve. I need to get a damn job, so I can start saving money. I want to go to Ireland but I need to get a job first so I can start saving. Anybody got a quarter for bus fare? Muse is a hella good band."
INFP,"i got yelled at yesterday, made me feel small"
INFP,"My parents are so loud and forceful I literally cannot hear myself think. They will not allow me enough room to even breathe, everything I do has to be incorporated into a dance that goes along with their rhythm of PUSH, PUSH, PUSH. My head feels all tight and stuffy."
INFP,"Nobody can see things from my point of view... But then again, I don't want people to see things from my point of view, I don't want to mess people up."
INFP,"I am attending my own wedding shower in 3 hours and I am a little anxious. I don't like to be the center of attention at these types of social functions. Last time I had a birthday, as I drove to the party I had a panic attack in the car. I don't feel the panic coming on right now, but it's because I am trying not to think about it too much. When I get to the shower, I am not sure if I will reach for the wine in hopes to float into an extroverted world or if I will be ok just wandering around chit chatting. and if I do reach for the wine, will I be able to do it in moderation? Sometimes I can't stop myself, especially under pressure like this. Is that old friend of mine who I think hates me for no reason gonna be there? Will my friends get along with everyone? Will they have a good time? Will the food be good? Will I have to open presents in front of everyone? Will I appear gracious and kind or aloof and distracted? Will I be able to answer everyone's probing questions? Will I appear like I have it all together or will I look like a scatterbrain space case? Will I be able to express my gratitude to the host, my step mother, without seeming forced or fake? Will I appear genuine? Will people like my dress? Am I going to break out in a sweat? will I overeat at the buffet ? Will people be staring at me the whole time or will they be able to chit chat with each other without me? Will someone be taking pictures? Am I feminine enough? am I graceful? Do I have to be? After it's over, will I feel self-destructive again? Do I know everybody there? Does anyone really give a shit?????

there's my vent."
INFP,"Poop.. caca .. poop .. caca .. gassy.. poopers.. caca.

I don't like people that drive and talk on the cell phone.
It's against the LAW here don'tcha know, you MD, VA, PA, DE tardlings.

Sometimes I fantasize about my own justice system for people that abuse/kill puppies & dogs.
And I fantasize I look like Judge Judy, but my real name is Judge Sily.
I'm going to keep what happens next, to myself.

Ahhh.. nice vent. I feel better."
INFP,"i am freaking out having to go meet someone for coffee for the first time! i have been rendered almost completely disfunctional with social anxiety! yet i know i'll go and i'll probably have fun and everything will be fine and the day will continue like nothing happened! WHY WHY WHY WHY WHY does it have to be so anxiety producing!? because of this i usually cancel! and hold myself back from things i'd otherwise enjoy! yet forcing myself to do these things is so awful!

AAAAAAAAAAAAAAAAAAAAAAAAAAGGGHHHH"
INFP,"Nice idea for a thread I wish I could fly (what a cliche) so I could just get away from everything. At least, for a little while. Find somewhere I belong. Find someone who actually cares. I give everything and my everything isn't enough. I'm flawed, I'm incomplete. I want to do something that matters. I'm so empty and no-one knows. And I'm so pathetic to be posting this online. I know I wish too much, but I still wish. I still think about him, and it hurts. I can't tell anyone. I still can't tell anyone. I want to hurt again. I don't know how to resolve this post because I don't know how to resolve what I'm feeling....."
INFP,"i hate when people argue, nothing happens expect that they get mad at each other, ieman whenether i'm gettingclsoe to an argument i just say""there's no way we're gonig to agree so let's not do this"" some people just see arguments as something to win to beat the other guy, i hate that to competition, even as a child i HATED losing and when i won i didn't feel anything. but yeah the world isn't a perfect place."
INFP,"I know what I want in life, know how to get there, know the directions to my destination but am still lost along the way. if any passerby find me, please pick up this lonely hitchhiker"
INFP,"
I can't really live away, for now, but those will help me feel better...

By the way, I'm actually trying to respond to that PM right now. I typed a response, but then my cat unplugged my computer >.<"
INFP,"Is this just a stream of consciousness thread? In that case...

I have an english paper to do. Fuck. I have 3 hours though, I'm fine. A blue slushie would help me focus right now, blue is a focusing color. Kids are starting to eat windex because they are loosing the instinct to avoid blue liquids because of slushies and candy. My friend is pissing my the fuck off. Her shallow friends ruin her whole personality. I was suppose to go to that rave today with them. I hate raves. I only agreed because she already bought my ticket for me without asking. I gotta pay her back. She shouldn't of bought it, but she prolly just presumed I'd be interested because I always pretend to like her ideas. I saw the matrix with my other friend instead. I would take the red pill. Or am I just saying that? No, I'd have to take the red pill."
INFP,"Why doesn't summer feel like it used to? Is it still my favorite season? Am I changing? No, no, no, it must just be more rainy than normal. But what if it's not the weather, what if it's me?!"
INFP,"Why can't they just accept the one page for a tax form,I'm sick of this shit,I just need my aid to go through.
I feel like I'm not losing any weight even though logically I know I kind of am,I'm working my ass off,trying to do everything I can and I just feel like I keep looking the same. My mom tells me to reward myself fuck,I want to lose 20 pounds before I reward myself with anything."
INFP,"
I feel you, helena. I'm contemplating deferring uni next semester so I can just get out of my families house, and live on my own. I don't care if it's a shoebox :\
Last year when I started living on my own, everything came crashing down on me. I feel that living on one's own for a long period of time is not really as ideal as you make it out to be when you get around to the actual thing. But I guess if you have friends and a support network in your area, then its o.k.

What do I want to vent? I want to vent that McDonalds is so bloody tasty but so bloody expensive and unhealthy at the same time. I also want to vent that my Philosophy essay is due very soon and I'm still mucking about on PerC. I also want to vent that Clive Barker could be a better author if he just stops trying to be the next Stephen King.

Ding dong bell, Pop Crimes in a well."
INFP,"So strange re-entering the world after a week and a half of being holed up due to the flu. Suffered true ""cabin fever"" for the first time, gave me insomnia not to mention the symptoms of the flu itself. Realised that despite enjoying my own company more than most people, being without any human contact at all for an extended period of time (not even randoms) cannot be healthy for anyone... even a self-confessed anti-social introvert like myself.

Still feeling somewhat alien, getting used to talking again, walking around and actually living.

Despite being predisposed to avoiding/surviving without human contact, turns out it was the one thing I needed the most whilst I was sick... even more than a remedy for the obvious physical ailments.

It's also why I haven't checked in on here for a while, so I'm also quite overwhelmed with the amount of threads that I would have normally been interested in. Whilst I endeavour to catch up, I know I'll be missing out on some amazing posts/discussions, and that kills me a little"
INFP,"At every single job I've had, whether it was a being a Waiter or an Accountant, I always ask other workers if they need help with anything. I do this if I've finished everything I need to do. If I do help them, I expect help when I need it too. Last night I was still going busy packing up the resturant while a few others just sit down having a drink... Is it wrong of me to expect help, if I give it?"
INFP,"Yes it is wrong. I know this by experience. It is better for your mental health not to expect anything from anyone. Help when you think you can do it without getting hurt and when u help someone, do it knowing that they might not give you anything back.


Anyway, I want to vent that I HATE PEOPLE!!! Is that possible for an INFP?? I used to love people, now, after 3 years working as a waitress and dealing with unrespectful people every day made me despise any contact with whoever is not one of my 3 or 4 closest friends. Seriously, I became so much reserved that I avoid meeting new people because I think it is pointless as they most probably are gonna be (and by that I mean about 99% of probability) BRAINLESS AND UNRESPECTFUL IDIOTS!

Ha!"
INFP,"i hate that people expect me to know pop-culture, they'll go on about some famous person band or whatever,i'll of heard of them and i can struggle pretending i know/care what it is they do for a bit. people just think their muisic is the best, they say anything other than what they listen to sucks. the music i listen to is neither common nor popular and i learned a long time ago that noone is going to share my taste.."
INFP,"I wish I had a close friend I could talk about anything with........
I wish I wouldn't get jealous when someone has an admirable skill or attribute....
I wish I was more intelligent/smart than I am now.....

Damn....where's my genie!"
INFP,"
i got yelled at yesterday, made me feel small


I hate being yelled at!!! I HATE IT!"
INFP,"FiNe SiTe said:
I wish I had a close friend I could talk about anything with........
I wish I wouldn't get jealous when someone has an admirable skill or attribute....
I wish I was more intelligent/smart than I am now.....

Damn....where's my genie!



I feel EXACTLY the same. I even bought a book about critical thinking because I think that I may get smarter...("
INFP,"I want you to understand.

No, I mean, really understand.

All of you...

I wish you could reach into my mind.

But what if you could?

Would it still be too dark to see inside?

I've thrown so far off my center gravity I wonder if I'll ever fall back down to earth,

figuratively speaking,

of course."
INFP,"I wish I didn't feel like I have been feeling for a month now. I wish I had someone and I wish that someone had me. I miss having ''crushes'' on guys.. I feel like it's been a year since I've been interested in someone. I miss going to bed thinking of someone. I miss when I could daydream about a perfect life, now everytime I try I end up thinking of someone dying or I imagine bugs crawling on my skin.

I need a job, I hate that I can't seem to get one. Is it me? Is it my resume? I hate that all of my friends have jobs and I hate that I feel like they all think I'm lazy. I'm scared I might actually be lazy... I hate that I have no money and that I'll never get that lens I want. Sometimes I wish I had a different passion than photography and sometimes I wish I hadn't choosen it as a future career.

I wish my older brother would clean up around the house more and I wish my parents hadn't left all the responsability to me. I wish he was more confident and that he could be able to go to school and actually ask for help when he needs it. I wish he would see that his appearance is fine and if he tried, society would accept him.

I wish my friends didn't dislike eachother.. I think of how it used to be in high school and I miss it. Now, I can only see my friends one at a time.. Now that I think of it, I wish I had more friends. I'd like to go on road trips, to drive-iin movies, beaches and etc.

I even wish I had online friends.. How do you go about making friends online? It just happens I guess. I had online friends when I was about 12. I remember this one older guy who called me mature for my age.. but he would always tease me for being young. I also had an American penpal and a guy from an online game I played. I wonder where they are now... I just wish I had someone to say anything too.

I wish I didn't kind of hate one of my friends for having changed so much and I wish I didn't feel so jealous when she talks about her boyfriends. I hope my best friend's life gets better soon, and I hope she gets some free time for me so we can play video games like when times were simpler. I wish one of my friends would ask me to do more stuff with her, she never seems interested when I ask her... Finally, I wish that my other friend wouldn't move to France soon.

What a long rant... I blame my hormones.

P.S Brilliant thread.. Kind of made me feel better"
INFP,"This is betrayal: betrayal of my trust, my hopes, dreams, my shot at finally getting something right. How could you do this to me? I revealed the sea at my core in torrents, and you drank freely: you stole my soul. A title can not blast my love into oblivion. You must pretend this is so, for I have not seen an apology in the smile that you give me. My forgiveness goes unspoken.

Ignorance has snatched you up and put you in her pocket to forget about until a later date... When that day comes I hope you do not feel the pain seething in your hollow as fiercely as I have.
You did this to me, my dear friend."
INFP,"I'm not sure if I want to go to any more concerts right now. I always go alone because there's no one to go with and I feel so lonely whenever I'm there. I was attending a free She & Him concert a week ago where I noticed that just about everybody there was with other people if not someone else. It was apparently an experience that should be shared as I could see everyone dancing along and had someone to talk to or just be around, and I just stood there being reminded of my current state. I should just try to zone out of everything that I'm not focusing on and just try to enjoy it. To be honest, I just wanted to get a better view of Zooey Deschanel. I now share with you what I have seen with my eyes in the hopes that I can have the feeling that it was an experience that has been shared with someone, and that you could have been there with me.


*Sighs* place was packed and felt lonely nonetheless.

I wish I could have gotten a better view"
INFP,"I wish Someone could just give me a chance for once
I'm so sick of not having one person close to me.
Just one fucking person to feel close to.
I'm sick of it."
INFP,"Why can I not post anything? We're all INFP's who have been/are insecure about the same stuff yet I cannot write an opinion on anything (I've typed five tonight, but posted none). I so want to be an INTP - life is easy when you can just post whatever and claim to be playing devils advocate (not that I did much or I'd have a far higher postcount...) or post multiple options and be appreciated but being an INFP I actually have to put me on the table, risk the laughs and misinterpretation resulting in upsetting someone while admitting to myself that I care (I always did, but by sticking to NT forums they don't get upset (or so I'd like to think...)). The funny thing is I couldn't care less on Friday when a group of my colleagues friends were laughing at me in person, yet on here it would be terrible. Doesn't help that my worldview is likely based on government propaganda and this doubt (that anything I believe in is real) is having an effect on my daily life and as seems so common I have no-one to cry on.

Back to the job that is everything I'd have said I wanted it to be a fourtnight ago - I got away from an all-girl atmosphere, got a window seat not near a cold person, a chair with arms and it's more technical. I hate it! No more phone calls to help people, it's just so unrewarding :frustrating:"
INFP,"I wish the girl I used to have a crush on about eight years ago would read what I just wrote her in messenger right after she logged in for a third time in five minutes. Wrote her: excuse me, who are you and why are you logging in my messenger at night? She lives abroad and I haven't seen her like three-four years by now. My choice, I've avoided her. But why did I do this now..."
INFP,"Near all my friends have all left uni for this year to go back home recently. They all promised they wouldn??t forget me when they came back next semester, but I just can??t shake the feeling they will anyway. I??m staying in Halls for another year; when asked I say it's due to this gut disease I have, but in truth, it??s because nobody asked me to live with them. Another friend ?? who could likewise hide behind an illness as an excuse, will be spending his final year and third time in Halls. Nobody has asked him either. I see myself in that. I see how much it bothers him, and nobody else seems to or at least don??t care; they think he??s boring and always sarcastic because that??s who he is, and not what ??they?? have turned him into. And I note that his first-year friends haven??t stuck around much either. :dry:

Before he left for home, another friend came around and was prepared to listen to how I was doing: making myself accountable. He asked if I could see any changes in myself over the year to compare with. I noted that I was basically socially inept and friendless, and that now one of the two was not the case. He replied that a mark of growth was the conversation we were having and that I was sustaining a conversation, being open about myself. And I raged inside. A month ago I gave him the most personal leverage over myself and I can??t believe it took him this long to check up on me. This wasn??t a conversation it was an interrogation. I was trying to tell him how angry I was with God and with people at large; and all the flights of emotion and rage that every night I can so easily summon, failed me. I don??t think he could see or feel how much this bothers me, or even what the hell was bothering me, even with all I told him. I so desperately wanted him to know, for him to help; and that if he couldn??t, it was my fault.

My parents keep telling me to get a job, but I have enough money at the moment and I don??t see the need. All I can see is people coming home from work, tired and unhappy. And because of it, they can??t help each other; in fact they are all just making it worse. And now we??re strained. It??s like we??ve all lost something, and they are relying on me to link them all, whilst at the same time constantly asking me to sabotage what??s holding us all together. They??re always trying to force me into a mould of some kind or another. They keep telling me they??re worried that when I??ll come home, I??ll ??regress?? into my ??older?? self: quiet, friendless, useless ?? as if I was less of a son when I was with them. But some terrible things happened to me, especially with my health, and I don??t see how anyone could have done any better: and now they define me by it, when that was when I needed their help. They never seem to ask why I was even more quiet, or ask where my ??friends?? were when I fell ill.

I feel like such a failure of a son, I wish I was closer to my Dad, and that I could impress him more. I know he loves me, but when together, all he does is tell me where I??ve failed and what I should be doing, who I should be. I can??t remember the last time he said something nice about me. I feel awful that I can??t; that I could even think of the family like this - there's a lot that's great about it, but it's not been the same recently. I can see how much he??s hurting as well, and I wish Mum would make things easier for him. It seems ridiculous: he wants to be closer, I want to be closer, why the hell isn??t this happening?!"
INFP,"I honestly cannot believe the kinds of attitudes some people hold. I cannot believe the kinds of things that go on on this planet.

I hate this process of truly getting to know the world without rose tinted glasses on. This gradual loss of ideals and innocence is so heartbreaking. And it is abhorrent to me, that other people could have the nerve to attempt to cut you down for caring. Because... well fuck. Maybe you learned early on what life is really like, and it didn't hurt because you don't care. Well I fucking care, and it's not wasted energy. Because I at least treat the people around me with a bit of dignity.
Life's a game, eh? life's a joke? sure it may seem like that. But people get hurt. That pain is real. Don't fucking tell me their lives are a joke. Just because you don't care, has no say over the worth of these people.

</end rant> roud:"
INFP,"stand the fuck back...

i love you all...

that is all..."
INFP,"My world has fallen apart again, I'm tired and worn out, I just want to crawl inside my shell and stay there forever, exept I'm too restless to stay.
I have a huge bump on my head and I don't deserve sympathy because I made it myself, but it still hurts :frustrating:
*Makes loud sound of dismay*"
INFP,"DAMNIT!!! Why can't I get myself to do this!? just do it already!!!! Stop avoiding it, stop procrastinating before you ever regret not doing it!!! AAAAARRRRRRRGGGGGGHHHH!!!!!"
INFP,"I'm really tired right now but I can't make myself go to bed (as usual).

I can't believe that you emailed me and apologized. Usually, I would be extremely happy get an apology but, honestly, after all that you put me and our mutual friends through, I can't accept it. I know that you haven't changed - you have no clue what you are apologizing for because, fundamentally, you can only understand your own emotions - not yourself as a person, only your overwhelming emotional reactions to things. You're apologizing not because you're truly sorry, but because your very extroverted self is getting lonely. You rely on your good looks and your happy, flighty personality to get away with things - I'm sorry, I've very clearly seen through that and it's not worth it. It was extremely difficult for me to stand up for myself and push you away. I fucking cried when I had to tell you that I needed space in my own house - you knew that I was an introvert and you knew very well what that implied and yet you acted like I was wrong for making you leave me alone for more than like 10 minutes a day. You never asked to stay at my house - you just invited yourself in and took over my life and I let you because I wanted to help you out but, my god, you never considered me and you would have never moved out if I didn't have the courage to stand up to you. My mum is an ENFP and she has been in many similar (and worse, much worse) situations and she told me she was proud of me for speaking up for myself (once I told them my parents what was happening). You leeched off me mentally, academically (you made me basically write your 2-3 months late paper which you did no research for), emotionally and ... I just can't. I can't.

Also, I know that you are one of the only friends she ^^ has left and that I shouldn't complain about her ^^ in front of you, but, again, you also fucked me over -- much more deeply and over a longer period of time. It is amazing that I'm as nice and civil as I am towards you. Honestly, I have little compassion for you in what was at best a moderately awkward situation. I'm more sorry that I made other people feel awkward during this conversation.

I'm such a push over - I can't, can't, can't be like that anymore. All these things keep happening to me and I let them happen. (it's very unfortunately that both these people are the only ENFJs I know - it makes me unfortunately biased against the type).

... I'm afraid it'll happen again though.


ha! And I was just coming here to complain about people who don't know the difference between plural and possessive. :blushed:
It's ideas not idea's - seriously, do you think that your idea possesses something?


.... oh wow, I feel like a bitch right now."
INFP,"I'm sick of making mistakes. I'm sick of spending most of my life think ""I wish I'd never gone there, or done that."" To be honest, I wish no-one loved me or cared about me, so I couldn't hurt anyone.

I wish I could stop using the phrase ""I wish."" :laughing: It's so very pointless...

Bleh. Dear hermits- I totally understand..."
INFP,"I always did everything possible to be the person i am today, i taped on my emotions, desires ...everything just to be the girl i am today, educated, powerful, intelligent, caring, clever, sweet....etc and then he comes back to my life when i am on the last steps to reach the top of the leader...to start comparing me with other women work with him and how fascinating their characters are WTF why always he fail to see that i am one of these girls but i am dont brag about myself :angry:"
INFP,"
My world has fallen apart again, I'm tired and worn out, I just want to crawl inside my shell and stay there forever, exept I'm too restless to stay.
I have a huge bump on my head and I don't deserve sympathy because I made it myself, but it still hurts :frustrating:
*Makes loud sound of dismay*
*hugs* i understand but it is ok everything will be ok, just try to relax for a bit and think of solutions"
INFP,"I don't think I could find a way to live life for myself. I always thought to myself: ""If I could not dedicate myself someone, I will dedicate myself to my ideas and principles."" But it seems that to think like that would further remove me from this world.. One of the worst feelings I have ever had was to be removed and isolated from everyone else in this world altogether. It feels like crap. I know being around them and being surrounded by them isolates me, but perhaps it is all because I am not connected to them. Maybe if I found something that connects me to everyone, I wouldn't be like this. I want to remove the looking glass, let me go through, connect me to this world."
INFP,I wish people would recognize the great thoughts I have of other people without it seeming weird and me not taken seriously.
INFP,"Why am I so numb? Where did all of my ____ go? I feel as though I've lost all of me, and I don't know where to begin to try and find it all."
INFP,"Damnit I have a headache! XD I felt ok today... but then I was reminded that I still don't have a job so then I started to feel useless. How come nobody wants to hire me? I'm freakin' awesome. I am incredibly nice and I am a perfectionist, what the hell could you ask for more? I waaaannnt monneeeey. Ok going to bed now."
INFP,"I don't get it. Why can't it all dissolve as is, and be recreated as if this is how it should be? Why does everything seem to have this principle? Why am I always asking why? Why do I never have the answers? For all the foolish people I've met, stubborn and lost in their skin, I sadly am too."
INFP,"
I wish Someone could just give me a chance for once
I'm so sick of not having one person close to me.
Just one fucking person to feel close to.
I'm sick of it.
THIS THISE THIS

I love this thread it's awesome"
INFP,"
I don't think I could find a way to live life for myself. I always thought to myself: ""If I could not dedicate myself someone, I will dedicate myself to my ideas and principles."" But it seems that to think like that would further remove me from this world.. One of the worst feelings I have ever had was to be removed and isolated from everyone else in this world altogether. It feels like crap. I know being around them and being surrounded by them isolates me, but perhaps it is all because I am not connected to them. Maybe if I found something that connects me to everyone, I wouldn't be like this. I want to remove the looking glass, let me go through, connect me to this world.

Why am I so numb? Where did all of my ____ go? I feel as though I've lost all of me, and I don't know where to begin to try and find it all.
Every time I come here and see what I am also experiencing, a burden is lifted off my back.

Thank you all for sharing."
INFP,"I'm not sure exactly why... but I long to be held into the special one's arms, have this person whisper all the important things and feel loved as if I'm the only one existing in the entire world, all of a sudden, whoever this person is. To fall in love.

Gosh! I don't usually think these kinds of things much, but... um, yeah, maybe only a bit of intense romantic moment would be lovely.

...

Gee..."
INFP,"I wish that this world didn't seem to try to enslave people rather than let them be free. That's what I am, basically, free-spirited. But society looks down on that...instead it wants structure. I think that the way modern American life is set up accommodates certain people more than others...and it really doesn't accommodate someone with my personality. But whatever, I'm gonna live the way I want to :happy:
I'm gonna travel the world one day if I still want to!!"
INFP,"
Every time I come here and see what I am also experiencing, a burden is lifted off my back.

Thank you all for sharing.

YouTube - Bowerbirds - Beneath your tree
The Bowerbirds are fantastic. Northern Lights is one of my favourites by them:



I'm feeling quite emotional right now. I seem to have a certain period of time every couple of days where I feel *everything* more.

NatalieAnne - I'm so happy that you've found some peace of mind on this thread. Thank you for making it.

In fact, I am incredibly, incredibly happy that I found PerC. That we can talk about anything and be so different and yet so similar.

Actually, ever since I did my second vlog, I feel more at ease, less anxious about feeling judged and unwanted on this site. I still feel like that (hard to stop totally thinking like that, no matter how much you try and break the habit), but the feeling has lessened. I mean, I can't expose myself anymore than that, can I?"
INFP,"
I wish that this world didn't seem to try to enslave people rather than let them be free. That's what I am, basically, free-spirited. But society looks down on that...instead it wants structure. I think that the way modern American life is set up accommodates certain people more than others...and it really doesn't accommodate someone with my personality. But whatever, I'm gonna live the way I want to :happy:
I'm gonna travel the world one day if I still want to!!
Hey Helena, I don't want to cut your wings but a lot of the comfort you have in your life now is provided by structure. Just imagine you'd have to work on a field everyday or go collect berries just to survive. Sure you'd still be free but in order to survive youd have to focus on resource gathering. In society now that is outsourced so you don't have to. But the downside is that this complex society needs certain rules. For example the bus schedule. Imagine the busdrivers being free spirited and just not driving. Sounds fun right ? =)"
INFP,"God I really need to change my username. There's a Gracerina, Gracie and Graice that frequent the forums. I don't even know why I picked this username D=

Oh well, only 8600 more gold to go"
INFP,"
Hey Helena, I don't want to cut your wings but a lot of the comfort you have in your life now is provided by structure. Just imagine you'd have to work on a field everyday or go collect berries just to survive. Sure you'd still be free but in order to survive youd have to focus on resource gathering. In society now that is outsourced so you don't have to. But the downside is that this complex society needs certain rules. For example the bus schedule. Imagine the busdrivers being free spirited and just not driving. Sounds fun right ? =)
I don't think you got my idea, but I really only intended for me to understand it. I use loose wording and am purposefully vague a lot of the time. I have a main idea in that post. Most of my posts that are similar to those are specifically for me to get my mind out. Yeah...rules and the such, but not the kinda rules I have in mind;Those aren't necessary. But I don't want to elaborate.
And I'm not stupid, dude...that's common sense....

Sorry if I'm not making sense...sometimes I get the feeling people don't understand what I'm saying or that I'm not making sense to people lol"
INFP,"virtualvortexrider said:
Hey Helena, I don't want to cut your wings but a lot of the comfort you have in your life now is provided by structure. Just imagine you'd have to work on a field everyday or go collect berries just to survive. Sure you'd still be free but in order to survive youd have to focus on resource gathering. In society now that is outsourced so you don't have to. But the downside is that this complex society needs certain rules. For example the bus schedule. Imagine the busdrivers being free spirited and just not driving. Sounds fun right ? =)
That's if that's the world you imagine...



When you're free you have nothing left to lose. And when you're free you don't care about those things."
INFP,"
I don't think you got my idea, but I really only intended for me to understand it. I use loose wording and am purposefully vague a lot of the time. I have a main idea in that post. Most of my posts that are similar to those are specifically for me to get my mind out. Yeah...rules and the such, but not the kinda rules I have in mind;Those aren't necessary. But I don't want to elaborate.
And I'm not stupid, dude...that's common sense....

Sorry if I'm not making sense...sometimes I get the feeling people don't understand what I'm saying or that I'm not making sense to people lol
Click to expand...
I guess that's one of the differences between Enfp and Infp. INFP wanting to go down deep and the enfps wanting to keep it light.

After re reading I got what you meant. I guess it's your task to do it."
INFP,"
Quote:
For example the bus schedule. Imagine the busdrivers being free spirited and just not driving. Sounds fun right ? =)

That's if that's the world you imagine...
When you're free you have nothing left to lose. And when you're free you don't care about those things.
I guess that's true. But if being free means away from society then I'd rather have some network around me than being totally free. Would be pointless living if you made no impact on your surroundings and vice versa."
INFP,"
Sorry if I'm not making sense...sometimes I get the feeling people don't understand what I'm saying or that I'm not making sense to people lol
Don't worry Helena, if there's any place on here where you don't have to make perfect sense, it's here.

I think I can understand what you mean, if it counts for anything. You want to carve your own life. Someone once told me 'freedom' is a state of mind; a state of being. Sometimes freedom is not what you think it is. Important thing is, that you create it. Fearlessly. Because living life on your own terms, is the hardest but most worthwhile pursuit. Don't be afraid to let the journey take you somewhere, don't be afraid to see your vision change. Just go with it.

I sound like i'm high, but I swear i'm not :laughing:

murderegina said:
When you're free you have nothing left to lose. And when you're free you don't care about those things.
<3"
